Identifier,Covered?,Coverage
s22250_COG0088,True,1
s20852_COG0088,True,1
s27658_COG0088,True,5
s40062_COG0088,False,0
s31838_COG0088,False,0
s11786_COG0088,True,7
s35121_COG0088,True,1
s9633_COG0088,True,3
s32292_COG0088,True,2
s2916_COG0088,True,1
s2016_COG0088,True,1
s13571_COG0088,True,2
s8657_COG0088,True,2
s5935_COG0088,False,0
s28150_COG0088,True,1
s1444_COG0088,True,3
s98_COG0088,False,0
s10313_COG0088,True,1
s32283_COG0088,True,1
s26428_COG0088,True,4
s9177_COG0088,False,0
s3545_COG0088,True,5
s36811_COG0088,True,5
s17662_COG0088,True,2
s13958_COG0088,True,1
s9679_COG0088,True,1
s28325_COG0088,True,1
s39051_COG0088,True,1
s25453_COG0088,True,2
s18957_COG0088,True,2
s34284_COG0088,True,1
s28635_COG0088,True,1
s7519_COG0088,True,2
s3218_COG0088,True,2
s12057_COG0088,True,3
s3331_COG0088,True,4
s8321_COG0088,True,2
s10467_COG0088,True,3
s31492_COG0088,True,2
s25311_COG0088,True,2
s23166_COG0088,True,1
s9453_COG0088,True,3
s23348_COG0088,True,2
s21429_COG0088,True,2
s16257_COG0088,False,0
s16163_COG0088,True,2
s12283_COG0088,True,1
s24102_COG0088,True,2
s716_COG0088,True,4
s39394_COG0088,True,4
s38636_COG0088,True,2
s31677_COG0088,True,1
s3597_COG0088,True,2
s1616_COG0088,True,3
s27761_COG0088,False,0
s14352_COG0088,True,1
s9611_COG0088,False,0
s32418_COG0088,True,2
s16777_COG0088,True,1
s5348_COG0088,True,1
s30041_COG0088,True,3
s20331_COG0088,True,2
s33056_COG0088,True,2
s34421_COG0088,True,1
s36414_COG0088,True,1
s15072_COG0088,True,1
s12775_COG0088,True,2
s3237_COG0088,True,6
s21307_COG0088,True,3
s24838_COG0088,True,4
s30597_COG0088,False,0
s6359_COG0088,True,4
s33500_COG0088,False,0
s190_COG0088,True,3
s27747_COG0088,False,0
s13929_COG0088,True,3
s28715_COG0088,True,2
s26905_COG0088,True,3
s15831_COG0088,True,2
s20692_COG0088,True,1
s2605_COG0088,True,1
s28702_COG0088,True,3
s30775_COG0088,True,2
s2421_COG0088,True,3
s21452_COG0088,True,1
s23787_COG0088,False,0
s131_COG0088,True,3
s7362_COG0088,True,2
s12881_COG0088,True,1
s37465_COG0088,True,1
s28876_COG0088,True,1
s35346_COG0088,True,2
s38353_COG0088,True,1
s30576_COG0088,True,1
s39443_COG0088,False,0
s25853_COG0088,True,2
s39071_COG0088,False,0
s8792_COG0088,True,2
s18517_COG0088,True,2
s4301_COG0088,True,3
s7053_COG0088,False,0
s14365_COG0088,True,1
s3278_COG0088,True,6
s10101_COG0088,True,2
s27998_COG0088,True,1
s8680_COG0088,True,5
s25942_COG0088,True,3
s14296_COG0088,False,0
s1446_COG0088,True,3
s2426_COG0088,True,6
s841_COG0088,False,0
s10095_COG0088,True,2
s27969_COG0088,True,3
s24683_COG0088,True,1
s20499_COG0088,True,2
s2347_COG0088,True,4
s37331_COG0088,True,2
s301_COG0088,True,4
s33450_COG0088,True,2
s20223_COG0088,True,2
s18153_COG0088,True,2
s37862_COG0088,True,3
s11015_COG0088,False,0
s12589_COG0088,True,3
s22690_COG0088,True,3
s12674_COG0088,True,2
s22148_COG0088,True,1
s14027_COG0088,True,3
s5127_COG0088,True,2
s417_COG0088,True,5
s33920_COG0088,True,3
s13107_COG0088,True,1
s2245_COG0088,True,1
s781_COG0088,True,1
s11867_COG0088,True,1
s38117_COG0088,True,4
s3497_COG0088,True,6
s13036_COG0088,False,0
s6201_COG0088,True,3
s18750_COG0088,True,2
s13451_COG0088,True,3
s13290_COG0088,True,3
s33301_COG0088,True,1
s19341_COG0088,True,2
s4734_COG0088,True,2
s23772_COG0088,True,2
s21640_COG0088,True,3
s13768_COG0088,True,1
s24367_COG0088,True,3
s21765_COG0088,True,3
s34185_COG0088,True,2
s34161_COG0088,True,3
s27603_COG0088,False,0
s5268_COG0088,True,2
s9098_COG0088,False,0
s31536_COG0088,True,2
s7870_COG0088,False,0
s1350_COG0088,True,2
s22879_COG0088,True,3
s4583_COG0088,True,2
s20740_COG0088,True,1
s24180_COG0088,True,1
s887_COG0088,True,2
s1725_COG0088,True,1
s40851_COG0088,False,0
s3813_COG0088,True,4
s32590_COG0088,True,3
s28340_COG0088,True,1
s34646_COG0088,True,2
s9916_COG0088,True,2
s17500_COG0088,True,1
s21397_COG0088,True,3
s29641_COG0088,True,3
s29469_COG0088,True,1
s29333_COG0088,True,3
s37698_COG0088,False,0
s21237_COG0088,True,1
s22743_COG0088,True,1
s35966_COG0088,True,1
s11572_COG0088,True,1
s40354_COG0088,True,3
s30535_COG0088,True,1
s6925_COG0088,True,1
s36355_COG0088,True,3
s27849_COG0088,True,1
s19245_COG0088,True,2
s29423_COG0088,True,1
s25818_COG0088,True,3
s34655_COG0088,True,3
s1810_COG0088,True,1
s20390_COG0088,True,2
s2528_COG0088,True,4
s30195_COG0088,True,1
s26600_COG0088,True,1
s19582_COG0088,True,2
s21085_COG0088,True,3
s5401_COG0088,True,1
s13435_COG0088,True,3
s40723_COG0088,True,3
s15907_COG0088,True,2
s15758_COG0088,True,2
s8735_COG0088,True,3
s33688_COG0088,True,1
s21943_COG0088,True,3
s31059_COG0088,True,2
s40411_COG0088,True,2
s24955_COG0088,True,3
s27541_COG0088,False,0
s27669_COG0088,True,1
s19230_COG0088,True,2
s34787_COG0088,True,2
s4202_COG0088,True,2
s32513_COG0088,True,2
s38941_COG0088,False,0
s23315_COG0088,True,2
s39644_COG0088,False,0
s22156_COG0088,True,1
s13772_COG0088,True,1
s18329_COG0088,True,2
s30685_COG0088,True,2
s20543_COG0088,True,2
s37949_COG0088,True,4
s6034_COG0088,True,2
s25863_COG0088,True,4
s12304_COG0088,True,1
s3230_COG0088,True,2
s10000_COG0088,True,3
s24370_COG0088,True,2
s1669_COG0088,False,0
s19491_COG0088,True,2
s358_COG0088,True,1
s13261_COG0088,True,1
s32033_COG0088,True,2
s28346_COG0088,False,0
s2241_COG0088,False,0
s31554_COG0088,True,1
s10997_COG0088,True,2
s12730_COG0088,True,2
s22093_COG0088,True,1
s32597_COG0088,True,3
s24672_COG0088,True,1
s13267_COG0088,True,1
s158_COG0088,True,3
s19292_COG0088,True,2
s33222_COG0088,True,4
s14308_COG0088,True,4
s13075_COG0088,True,1
s14285_COG0088,True,1
s13433_COG0088,True,3
s15094_COG0088,False,0
s1764_COG0088,False,0
s25020_COG0088,True,4
s30080_COG0088,True,1
s35051_COG0088,True,1
s22824_COG0088,True,3
s11445_COG0088,True,2
s32689_COG0088,True,2
s23042_COG0088,False,0
s3210_COG0088,True,2
s11810_COG0088,True,1
s19648_COG0088,True,2
s2012_COG0088,False,0
s9994_COG0088,True,3
s33220_COG0088,True,4
s32188_COG0088,True,2
s21681_COG0088,True,3
s23288_COG0088,True,1
s26791_COG0088,True,1
s28051_COG0088,True,4
s2909_COG0088,True,1
s40682_COG0088,False,0
s31633_COG0088,True,2
s8868_COG0088,True,2
s38544_COG0088,True,1
s38711_COG0088,True,2
s28432_COG0088,False,0
s4326_COG0088,True,2
s20756_COG0088,True,1
s39197_COG0088,False,0
s34450_COG0088,True,2
s34696_COG0088,True,3
s15131_COG0088,True,3
s26311_COG0088,False,0
s14715_COG0088,False,0
s14972_COG0088,True,1
s32149_COG0088,False,0
s15979_COG0088,True,2
s28482_COG0088,True,1
s38785_COG0088,False,0
s13010_COG0088,True,2
s27592_COG0088,True,1
s942_COG0088,True,3
s15543_COG0088,True,2
s212_COG0088,True,3
s22888_COG0088,True,5
s8674_COG0088,True,4
s4343_COG0088,True,3
s39853_COG0088,False,0
s21742_COG0088,True,1
s39057_COG0088,True,1
s33156_COG0088,True,4
s25332_COG0088,True,4
s1036_COG0088,True,1
s25562_COG0088,True,1
s24201_COG0088,True,1
s2249_COG0088,True,1
s36786_COG0088,True,2
s37478_COG0088,True,3
s35562_COG0088,True,1
s433_COG0088,True,3
s40985_COG0088,True,1
s15203_COG0088,False,0
s19325_COG0088,True,2
s2603_COG0088,True,3
s28739_COG0088,True,1
s20831_COG0088,True,1
s17237_COG0088,True,2
s19338_COG0088,True,2
s19608_COG0088,True,2
s16618_COG0088,True,1
s35187_COG0088,True,1
s4934_COG0088,True,2
s25050_COG0088,True,1
s17817_COG0088,True,2
s5629_COG0088,True,3
s21784_COG0088,True,3
s24199_COG0088,False,0
s3277_COG0088,True,6
s33805_COG0088,True,1
s32097_COG0088,False,0
s19146_COG0088,True,3
s8688_COG0088,True,1
s33189_COG0088,True,2
s37482_COG0088,False,0
s28324_COG0088,True,2
s31449_COG0088,True,3
s29554_COG0088,True,1
s32186_COG0088,True,2
s31286_COG0088,False,0
s36767_COG0088,False,0
s39299_COG0088,False,0
s7137_COG0088,True,5
s19606_COG0088,True,2
s4799_COG0088,False,0
s21894_COG0088,True,3
s12252_COG0088,True,3
s11638_COG0088,True,1
s38411_COG0088,True,4
s26572_COG0088,True,2
s18109_COG0088,False,0
s34947_COG0088,True,4
s37717_COG0088,True,2
s36779_COG0088,True,2
s27106_COG0088,True,1
s20354_COG0088,True,2
s28012_COG0088,True,3
s7518_COG0088,True,2
s2569_COG0088,True,5
s19432_COG0088,True,2
s29566_COG0088,True,3
s2103_COG0088,True,4
s40809_COG0088,False,0
s33709_COG0088,True,1
s37699_COG0088,True,4
s14599_COG0088,True,3
s33753_COG0088,False,0
s39064_COG0088,True,1
s31382_COG0088,True,1
s38880_COG0088,True,2
s36123_COG0088,True,4
s37261_COG0088,True,4
s7388_COG0088,False,0
s19985_COG0088,True,2
s20520_COG0088,True,2
s32784_COG0088,True,1
